Sentiment,Document
sad,The pain is not on the day of missing our dear ones. The pain is really when you live without them and with their presence in your mind.
sad,Every moment we spent together is more beautiful than any sunset if someone asks me for the best day ever I would always say the day 'when we met'.
love,Good night sleep tight I will be dreaming of you with all my might.
sad,Pain is the only thing that's telling me I'm still alive
sad,One day you realized or look back you'll find I'm still waiting for you where you left me. Missing you..
sad,My Smile: Doesn't always mean I'm happy. Sometimes it means I can manage and sometimes it just means I'm tired of crying...
sad,There is no worse sorrow than remembering happiness in the day of sorrow.
sad,When sorrows come they come not single spies but in battalions.
sad,It hurts the most when the person who made you feel so special yesterday makes you feel so unwanted today.
sad,The worst kind of pain is when you're smiling to stop the tears from falling.
sad,The hardest part about loving someone is watching that person love another person
sad,Crying is the only way your eyes speak when your mouth can't explain how things made your heart broken.
sad,Nothing hurts more than realizing he meant everything to you and you meant nothing to him.
love,Love is when the other person's happiness is more important than your own.
love,The happiest I've ever felt was that moment I discovered you loved me too
love,I love that feeling I get when I see your smile.
love,A successful relationship requires falling in love many times always with the same person
love, Falling in love with you is the second best thing in the world. Finding you is the first
love,I want a hug from you. A hug where you wrap your arms around me so tight and assure me that everything will be okay.
love,The few hours I spend with you are worth the thousand hours I spend without you. 
love,A kiss is a lovely trick designer by nature to stop speech when words become superfluous
love,I’m not perfect. I’ll annoy you make fun of you say stupid things but you’ll never find someone who loves you as much as I do.
love,The first thing I imagined when I saw the word ‘love’ is you.
love,No matter what has happened. No matter what you’ve done. No matter what you will do. I will always love you. I swear it. 